organization_name,repostiory_name,branch_name,is_protected,last_commit_link
freeCodeCamp,mail-for-good,stable,False,https://api.github.com/repos/freeCodeCamp/mail-for-good/commits/d1983c30c0ac6a7b9ec20e1ad3924dd506165eda
freeCodeCamp,mail-for-good,staging,False,https://api.github.com/repos/freeCodeCamp/mail-for-good/commits/6b78984bf0fbcea45e96217df96854c0ca81e01c
freeCodeCamp,how-to-contribute-to-open-source,fix/bad-links,False,https://api.github.com/repos/freeCodeCamp/how-to-contribute-to-open-source/commits/7418784472bb98206b542b066c892b56ec3bc99f
freeCodeCamp,how-to-contribute-to-open-source,main,True,https://api.github.com/repos/freeCodeCamp/how-to-contribute-to-open-source/commits/8834769ca56baa8afa298048666194e88775b210
freeCodeCamp,pantry-for-good,docker,False,https://api.github.com/repos/freeCodeCamp/pantry-for-good/commits/8290acace3ba0563fde35ef658d86a9d2e0f8c74
freeCodeCamp,pantry-for-good,master,False,https://api.github.com/repos/freeCodeCamp/pantry-for-good/commits/7ab179679b366f795f79597909201cfca486376a
freeCodeCamp,pantry-for-good,more-seed-data,False,https://api.github.com/repos/freeCodeCamp/pantry-for-good/commits/366be49612e5e1103367c1a586075e93979a53f1
freeCodeCamp,pantry-for-good,staging,False,https://api.github.com/repos/freeCodeCamp/pantry-for-good/commits/b42e9ff4438f43507a8039dc71831f4ca68a2437
freeCodeCamp,hour-of-code,Add-Google-Analytics,False,https://api.github.com/repos/freeCodeCamp/hour-of-code/commits/6214f334617654ad8c4720162bdd48ca536c3b13
freeCodeCamp,hour-of-code,fix/bg-case-insensitive,False,https://api.github.com/repos/freeCodeCamp/hour-of-code/commits/d45971ded0f691411775f535a2ade372b86c8fb8
freeCodeCamp,hour-of-code,fix/remove-fixed-height,False,https://api.github.com/repos/freeCodeCamp/hour-of-code/commits/b946d89c69a5dd7b4780f429d7ac3042f34ebc4d
freeCodeCamp,hour-of-code,fix/reset-button,False,https://api.github.com/repos/freeCodeCamp/hour-of-code/commits/cdd5ad4f0ef79b35f5a2c749b5ff6510f9bd5791
